x,y,z,intensity,gps_time,label,global_id
746002.2499939,2573795.2389209,463.79672241,12850,5337.669,9,103010001
746002.08019409,2573795.3875415,465.92391968,7967,5337.771,9,103010001
746008.94118652,2573792.88473389,465.04492188,12079,5337.958,9,103010001
746009.3565918,2573793.02233765,464.79623413,10023,5338.058,9,103010001
746009.44710693,2573793.24212524,464.73812866,10023,5338.058,9,103010001
746002.04158936,2573795.21832153,463.98751831,5140,5338.058,9,103010001
746009.47341309,2573793.40133545,464.74752808,9509,5338.465,9,103010001
746002.07021484,2573795.38223145,464.53533936,14135,5338.465,9,103010001
746002.01918945,2573795.24282715,467.42913818,9509,5338.465,9,103010001
746002.03130493,2573795.39922974,467.57672119,9509,5338.465,9,103010001
746008.9605957,2573793.04522583,464.91223145,12079,5338.5605,9,103010001
746008.99059448,2573793.0710437,464.91433716,11308,5338.6616,9,103010001
746002.07790527,2573795.38363525,466.71704102,8224,5338.6626,9,103010001
746002.10030518,2573795.44412109,466.90252686,8224,5338.6626,9,103010001
746002.11959229,2573795.22042725,463.44702148,16191,5338.7627,9,103010001
746002.06859741,2573795.25213501,463.65621948,16191,5338.7627,9,103010001
746002.05608521,2573795.27621338,463.86843872,16191,5338.7627,9,103010001
746002.05129395,2573795.29803345,464.07073975,16191,5338.763,9,103010001
746002.05480347,2573795.33993408,464.48724365,16191,5338.763,9,103010001
746002.06609497,2573795.360625,464.71252441,16191,5338.763,9,103010001
746009.44640503,2573793.22543213,464.14022827,16191,5339.062,9,103010001
746009.37490234,2573792.95562622,464.5262146,16191,5339.062,9,103010001
746008.89888916,2573792.77233765,464.87512207,16191,5339.062,9,103010001
746001.97091064,2573794.98242065,466.90383911,7710,5339.0625,9,103010001
746002.06539307,2573795.20532105,463.81463623,10023,5339.1587,9,103010001
746009.07769165,2573793.27703735,464.87973022,9509,5339.1587,9,103010001
746009.18859253,2573793.47332642,464.81271362,11308,5339.2607,9,103010001
746009.13890991,2573793.27722046,464.91873169,11308,5339.2607,9,103010001
746002.07369385,2573795.36532471,464.42703247,6168,5339.352,9,103010001
746002.04760132,2573795.16973755,464.46954346,6168,5339.352,9,103010001
746002.13009033,2573795.46523926,466.13082886,6168,5339.5527,9,103010001
746002.12859497,2573795.15713379,465.82034302,9509,5339.8574,9,103010001
746009.23320923,2573794.07852051,465.71191406,9252,5339.9604,9,103010001
746002.15239868,2573795.39492676,464.75863647,8224,5339.961,9,103010001
746002.11739502,2573795.36154053,464.55773926,8224,5339.961,9,103010001
746002.09740601,2573795.32552979,464.35852051,8224,5339.961,9,103010001
746002.09569702,2573795.28811523,464.17114258,8224,5339.961,9,103010001
746002.08580933,2573795.25253174,463.98294067,8224,5339.961,9,103010001
746002.07518921,2573795.2172229,463.79492188,8224,5339.961,9,103010001
746008.98989258,2573792.91042969,464.94763184,13107,5340.0703,9,103010001
746002.06109009,2573795.15643188,467.20751953,16191,5340.172,9,103010001
746002.11370239,2573795.40414307,466.45013428,16191,5340.172,9,103010001
746002.09389648,2573795.38793823,467.70681763,7196,5340.2617,9,103010001
746002.13619385,2573795.49462769,467.53991699,7196,5340.2617,9,103010001
746009.21010742,2573793.77343628,465.09082031,8481,5340.2627,9,103010001
746002.08770142,2573795.27322266,464.21563721,7453,5340.2627,9,103010001
746002.1184021,2573795.38253662,464.04891968,7453,5340.2627,9,103010001
746002.04180298,2573795.17913696,466.56811523,6939,5340.3584,9,103010001
746002.08599243,2573795.32324097,466.43322754,6939,5340.359,9,103010001
746009.09539185,2573793.28063843,464.94802856,11822,5340.359,9,103010001
746002.05269775,2573795.15133545,463.85342407,9252,5340.359,9,103010001
